away_team,home_team,map,away_main_dps_kills,away_main_dps_deaths,away_main_dps_ults,away_main_dps_kdr,away_flex_dps_kills,away_flex_dps_deaths,away_flex_dps_ults,away_flex_dps_kdr,away_main_support_kills,away_main_support_deaths,away_main_support_ults,away_main_support_kdr,away_flex_support_kills,away_flex_support_deaths,away_flex_support_ults,away_flex_support_kdr,away_main_tank_kills,away_main_tank_deaths,away_main_tank_ults,away_main_tank_kdr,away_flex_tank_kills,away_flex_tank_deaths,away_flex_tank_ults,away_flex_tank_kdr,home_main_dps_kills,hom_main_dps_deaths,hom_main_dps_ults,hom_main_dps_kdr,home_flex_dps_kills,hom_flex_dps_deaths,hom_flex_dps_ults,hom_flex_dps_kdr,home_main_support_kills,hom_main_support_deaths,hom_main_support_ults,hom_main_support_kdr,home_flex_support_kills,hom_flex_support_deaths,hom_flex_support_ults,hom_flex_support_kdr,home_main_tank_kills,hom_main_tank_deaths,hom_main_tank_ults,hom_main_tank_kdr,home_flex_tank_kills,hom_flex_tank_deaths,hom_flex_tank_ults,hom_flex_tank_kdr,away_team_goats,away_team_Winston_goats,away_team_sombra_goats,away_team_ana_goats,away_team_dive,away_team_wrecking_crew,home_team_goats,home_team_Winston_goats,home_team_sombra_goats,home_team_ana_goats,home_team_dive,home_team_wrecking_crew
TOR,HOU,3,10,6,5,+2,10,5,5,+2,6,7,5,-1,6,4,5,+3,1,4,4,-1,1,7,5,-2,5,6,6,+1,8,6,7,-2,4,8,5,-2,5,6,6,+1,6,3,4,+1,5,5,5,0,0.431,0.569,0.004,0,-0.019,0.021,0.669,0.298,0.324,0,-0.064,0.079
TOR,HOU,4,15,6,6,-1,9,5,7,+2,9,7,2,+3,8,5,5,+4,4,7,4,-5,5,6,4,0,6,9,7,0,7,9,7,-1,7,9,6,-1,1,9,4,-1,2,8,6,-1,13,9,6,+1,0.869,0.02,0,0,0.06,-0.03,0.774,-0.404,0,0,0.404,-0.404
TOR,HOU,5,13,8,5,+2,13,5,4,+1,10,10,3,+1,6,7,4,-2,3,10,2,0,2,11,4,0,9,5,5,0,10,12,4,+1,13,8,5,+1,9,5,5,0,1,8,4,-1,3,5,5,-1,0.0,0.0,0,0,0.323,0.195,0.0,0.0,0,0,0.0,0.809
ATL,FLA,1,12,2,5,+2,9,1,4,+3,3,1,3,0,11,2,3,+2,6,2,3,0,2,4,4,0,4,7,3,-2,2,7,3,0,2,10,1,-4,1,7,1,0,1,7,1,+1,2,7,3,-2,0.0,-0.415,0,0.013,0.789,-0.763,0.0,0.626,0,0.092,0.186,-0.042
ATL,FLA,2,7,5,7,0,4,4,7,-1,7,7,5,+1,9,1,6,+2,3,3,5,0,6,4,6,-1,6,7,5,-1,5,6,7,+2,6,8,5,-2,5,6,5,+1,1,5,4,-1,1,4,6,0,1.0,0.0,0,0,0.0,0.0,0.791,0.0,0,0.006,0.0,0.0
ATL,FLA,3,6,11,8,0,6,11,8,0,9,15,7,-3,15,8,6,+1,4,7,5,-1,3,11,8,-1,11,10,8,-4,14,7,8,+2,11,14,6,-3,14,7,8,+2,5,9,4,0,13,6,8,+3,0.671,-0.038,0.014,0,0.039,0.257,0.548,-0.098,0,0,0.474,-0.445
ATL,FLA,4,8,7,6,-4,4,5,5,+1,7,7,5,-1,5,4,4,+1,3,5,6,0,9,8,5,-3,9,7,7,+2,9,6,5,+2,9,7,4,-1,5,8,5,+3,2,4,4,+1,2,7,4,-1,0.874,-0.126,0,0.013,0.126,-0.126,0.916,-0.103,0,0,0.103,-0.056
DAL,SFS,1,1,6,4,-2,1,5,3,0,6,7,2,+1,2,6,3,0,3,3,2,0,0,6,5,-5,6,3,4,+2,7,4,3,-1,4,2,4,+2,7,2,3,+2,4,2,2,+1,4,2,5,0,0.331,-0.025,0,0.004,0.626,-0.243,0.603,-0.015,0,0,0.015,0.118
DAL,SFS,2,7,10,6,+1,5,11,6,-2,6,10,6,-2,4,3,7,0,1,6,4,0,2,7,4,-1,17,5,6,+1,6,5,7,-2,6,9,7,+1,4,1,3,+2,6,5,3,+2,8,2,6,0,1.0,0.0,1.0,0.102,0.0,0.0,1.0,0.0,0.051,0.68,0.0,0.0
DAL,SFS,3,4,8,5,-2,4,7,4,-1,4,7,4,-1,2,3,6,+1,1,3,3,-1,1,5,7,0,8,3,6,-1,5,4,4,-1,2,4,4,-1,4,2,4,0,6,2,5,+2,8,0,5,+5,0.392,0.059,0,0,0.361,-0.181,0.542,0.171,0,0.003,0.286,-0.273
